ptp4l[20966.240]: selected /dev/ptp0 as PTP clock
ptp4l[20966.293]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[20966.293]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[20969.803]: port 1: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES
ptp4l[20969.804]: selected local clock 6cb311.fffe.52a2ff as best master
ptp4l[20969.804]: port 1: assuming the grand master role
ptp4l[20969.870]: port 1: new foreign master 008082.fffe.865e74-1
ptp4l[20971.870]: selected best master clock 008082.fffe.865e74
ptp4l[20971.871]: port 1: MASTER to UNCALIBRATED on RS_SLAVE
ptp4l[20972.505]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[20973.255]: rms 3346 max 4437 freq +15665 +/- 2330 delay    27 +/-   0
ptp4l[21054.264]: rms    6 max   10 freq +12008 +/-   3 delay    28 +/-   0
ptp4l[21055.264]: rms    4 max    7 freq +12003 +/-   5 delay    28 +/-   0
ptp4l[21056.264]: rms    6 max    9 freq +11993 +/-   4 delay    28 +/-   0
ptp4l[21057.264]: rms    5 max    8 freq +11989 +/-   4 delay    28 +/-   0
ptp4l[21058.264]: rms    7 max   12 freq +12003 +/-   6 delay    27 +/-   0
ptp4l[21059.264]: rms    5 max    9 freq +12006 +/-   5 delay    27 +/-   0
ptp4l[21060.264]: rms   13 max   17 freq +11978 +/-   6 delay    27 +/-   0
ptp4l[21061.264]: rms    7 max   13 freq +11976 +/-   4 delay    28 +/-   0
ptp4l[21062.265]: rms    3 max    5 freq +11984 +/-   4 delay    28 +/-   0
ptp4l[21063.265]: rms    5 max    8 freq +11991 +/-   4 delay    28 +/-   0
ptp4l[21064.265]: rms    3 max    5 freq +11990 +/-   4 delay    28 +/-   0
ptp4l[21065.265]: rms    5 max    8 freq +11980 +/-   4 delay    28 +/-   0
